"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00050848","BOULDER, CO US","2021-03-27","0.01","0.0","54","27"
"USC00050848","BOULDER, CO US","2021-03-28","0.00","0.0","63","26"
"USC00050848","BOULDER, CO US","2021-03-29","0.00","0.0","71","42"
"USC00050848","BOULDER, CO US","2021-03-30","0.04","0.6","62","25"
"USC00050848","BOULDER, CO US","2021-03-31","0.00","0.0","54","20"
"USC00050848","BOULDER, CO US","2021-04-01","0.00","0.0","71","23"
"USC00050848","BOULDER, CO US","2021-04-02","0.00","0.0","74","41"
"USC00050848","BOULDER, CO US","2021-04-03","0.00","0.0","78","39"
"USC00050848","BOULDER, CO US","2021-04-04","0.00","0.0","80","43"
"USC00050848","BOULDER, CO US","2021-04-05","0.00","0.0","77","46"
"USC00050848","BOULDER, CO US","2021-04-06","0.07","0.0","76","36"
"USC00050848","BOULDER, CO US","2021-04-07","0.00","0.0","63","30"
"USC00050848","BOULDER, CO US","2021-04-08","0.00","0.0","70","37"
"USC00050848","BOULDER, CO US","2021-04-09","0.00","0.0","67","35"
"USC00050848","BOULDER, CO US","2021-04-10","0.00","0.0","70","26"
"USC00050848","BOULDER, CO US","2021-04-11","0.00","0.0","65","40"
"USC00050848","BOULDER, CO US","2021-04-12","0.00","0.0","53","23"
"USC00050848","BOULDER, CO US","2021-04-13","0.13","0.8","39","26"
"USC00050848","BOULDER, CO US","2021-04-14","0.08","0.6","39","26"
"USC00050848","BOULDER, CO US","2021-04-15","0.21","1.5","39","31"
"USC00050848","BOULDER, CO US","2021-04-16","0.58","4.7","38","28"
"USC00050848","BOULDER, CO US","2021-04-17","0.05","0.9","44","25"
"USC00050848","BOULDER, CO US","2021-04-18","0.00","0.0","58","27"
"USC00050848","BOULDER, CO US","2021-04-19","0.19","1.5","54","26"
"USC00050848","BOULDER, CO US","2021-04-20","0.73","7.6","37","10"
"USC00050848","BOULDER, CO US","2021-04-21","0.06","0.2","35","26"
"USC00050848","BOULDER, CO US","2021-04-22","0.01","0.2","50","25"
"USC00050848","BOULDER, CO US","2021-04-23","0.06","0.0","57","29"
"USC00050848","BOULDER, CO US","2021-04-24","0.00","0.0","64","31"
"USC00050848","BOULDER, CO US","2021-04-25","0.00","0.0","79","39"
"USC00050848","BOULDER, CO US","2021-04-26","0.00","0.0","76","47"
"USC00050848","BOULDER, CO US","2021-04-27","0.03","0.0","69","41"
"USC00050848","BOULDER, CO US","2021-04-28","1.00","0.0","59","37"
"USC00050848","BOULDER, CO US","2021-04-29","0.00","0.0","69","36"
"USC00050848","BOULDER, CO US","2021-04-30","0.00","0.0","79","42"
"USC00050848","BOULDER, CO US","2021-05-01","0.00","0.0","84","51"
"USC00050848","BOULDER, CO US","2021-05-02","0.12","0.0","79","46"
"USC00050848","BOULDER, CO US","2021-05-03","1.15","0.0","54","36"
"USC00050848","BOULDER, CO US","2021-05-04","0.18","0.0","60","33"
"USC00050848","BOULDER, CO US","2021-05-05","0.03","0.0","60","38"
"USC00050848","BOULDER, CO US","2021-05-06","0.00","0.0","69","36"
"USC00050848","BOULDER, CO US","2021-05-07","0.00","0.0","82","43"
"USC00050848","BOULDER, CO US","2021-05-08","0.00","0.0","76","45"
"USC00050848","BOULDER, CO US","2021-05-09","0.33","0.0","61","37"
"USC00050848","BOULDER, CO US","2021-05-10","0.45","0.0","45","35"
